_step,recall_macro,precision_macro,f1_micro,recall_micro,precision_micro,f1_macro,valid_json_pct,_timestamp,iter/all/recall_macro,iter/last_iter/f1_macro,iter/last_iter/recall_micro,iter/last_iter/precision_macro,iter/last_iter/f1_micro,iteration,iter/all/recall_micro,iter/all/f1_macro,iter/all/precision_micro,iter/last_iter/recall_macro,iter/all/f1_micro,iter/all/precision_macro,iter/all/n_samples,iter/all/parse_failures,iter/last_iter/precision_micro,retrieval_pct/semantic,retrieval_pct/threshold_fpr,retrieval_pct/threshold_fnr
0,0.12479459714193833,0.1872452372222648,0.29215237882759776,0.21080167417900836,0.4757493188010899,0.12965549147790878,69.0,1777908308.0011938,,,,,,,,,,,,,,,,,,
1,,,,,,,,1777908346.1976774,,,,,,,,,,,,,,,,,,
2,,,,,,,,1777908349.6471298,0.13471495421833912,0.0,0.0,0.0,0.0,0.0,0.246216999356085,0.13279686416371836,0.46680909507095986,0.0,0.32239026189597936,0.17823420329561324,1000.0,109.0,0.0,,,
3,,,,,,,,1777908349.6477377,0.14998979253702685,0.12403607443936918,0.24055262088581877,0.1725710200705956,0.3219140837411637,1.0,0.27641974161167393,0.1431776362275274,0.4554364471669219,0.12325355057261043,0.3440337787032217,0.18155293217752802,891.0,106.0,0.4864420706655711,,,
4,,,,,,,,1777908349.6479828,0.16605215719239774,0.16816322218885646,0.23485204321277595,0.21916319141896923,0.31318509238960224,2.0,0.2681171834846668,0.15946541851862692,0.4447286160841148,0.1594503215451556,0.334544677212484,0.1999002478413686,499.0,49.0,0.4699248120300752,,,
5,,,,,,,,1777908349.6482198,0.16184467112523657,0.14835196797736325,0.22452715070164733,0.19264478657485862,0.30692243536280234,3.0,0.2545846817691478,0.15949529936044712,0.45038167938931295,0.14337427854040805,0.32529290144727774,0.19588114002552057,313.0,32.0,0.48484848484848486,,,
6,,,,,,,,1777908349.6484573,0.17519889338330238,0.1760239555974877,0.27404543257612374,0.21698130114463132,0.341875188423274,4.0,0.27404543257612374,0.1760239555974877,0.4543269230769231,0.17519889338330238,0.341875188423274,0.21698130114463132,178.0,14.0,0.4543269230769231,,,
7,,,,,,,,1777908349.6490505,,,,,,,,,,,,,,,,,,
8,,,,,,,,1777908349.689972,,,,,,1.0,,,,,,,,,,58.69983041266252,7.91407574901074,33.38609383832674
9,,,,,,,,1777908349.6909122,,,,,,2.0,,,,,,,,,,66.7334000667334,5.171838505171839,28.09476142809476
10,,,,,,,,1777908349.6915314,,,,,,3.0,,,,,,,,,,69.43231441048034,6.222707423580786,24.344978165938866
11,,,,,,,,1777908349.6920707,,,,,,4.0,,,,,,,,,,70.37037037037037,5.864197530864197,23.765432098765434
12,,,,,,,,1777910942.07906,,,,,,,,,,,,,,,,,,
